Id,   q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,Marks
8238   ,0,2,0,0,0,0,0,0,0,0,2
8877   ,1,0,0,0,0,0,0,0,0,0,1
9151   ,1,0,0,0,0,0,0,0,0,0,1
12792   ,1,0,0,0,0,0,0,0,0,0,1
8356   ,0,0,0,0,0,0,7,0,0,0,7
8457   ,1,2,0,0,0,0,0,0,0,0,3
9068   ,0,0,0,0,0,0,0,0,0,0,0
10026   ,1,0,0,4,5,6,0,0,0,0,16
8513   ,1,2,0,4,0,0,0,0,9,0,16
8942   ,1,0,3,4,5,0,0,0,9,0,22
8881   ,1,0,3,4,0,6,7,0,0,0,21
12539   ,1,2,3,0,0,6,0,8,0,0,20
10430   ,1,2,3,0,5,0,0,0,9,0,20
8451   ,1,0,0,0,5,0,0,8,9,0,23
8446   ,1,0,0,0,5,0,0,0,9,0,15
9061   ,1,0,0,0,5,0,0,0,0,10,16
9579   ,1,2,3,0,0,0,7,0,9,0,22
8141   ,1,2,3,4,0,6,0,0,0,0,16
8420   ,1,2,0,4,0,0,0,0,0,10,17
8537   ,0,0,3,4,5,0,0,0,0,0,12
11873   ,1,0,3,0,0,6,0,0,0,0,10
9744   ,1,2,3,4,0,0,0,0,0,0,10
8693   ,1,0,0,4,0,6,7,0,0,0,18
9907   ,1,2,0,0,0,0,0,8,0,10,21
8147   ,0,0,0,0,0,0,0,0,0,0,0
8434   ,0,2,0,0,0,0,0,0,0,0,2
11331  ,1,2,3,0,0,0,0,0,0,0,6
9123   ,0,0,0,4,0,0,0,0,0,0,4
9730   ,0,0,0,0,5,0,0,0,0,0,5
12620   ,1,0,0,0,0,0,0,0,0,0,1
8708   ,1,0,0,0,0,0,0,0,0,0,1
9069   ,0,0,0,0,0,0,0,0,0,0,0
8415   ,1,2,0,4,0,0,0,8,0,0,15
8879   ,1,0,3,4,0,0,0,8,0,0,16
9962   ,0,0,0,0,0,0,0,0,0,0,0
9395   ,1,2,3,4,0,6,7,8,0,10,41
9110   ,1,2,0,4,5,6,7,8,9,0,42
9393   ,0,0,0,0,0,0,0,0,0,0,0
9703   ,1,2,3,4,5,0,0,8,0,10,33
8229   ,1,2,3,4,5,0,7,0,0,10,32
12522   ,0,0,0,0,0,0,0,0,0,0,0
12562   ,0,0,0,0,0,0,0,0,0,0,0
12595   ,1,0,0,4,0,0,0,8,9,0,22
12797   ,0,0,0,4,5,0,0,0,0,10,19
11412   ,0,0,0,4,0,0,0,8,0,10,22
9371   ,1,2,3,0,5,0,0,0,0,10,21
11804   ,1,2,3,0,0,0,0,0,9,0,15
12896   ,1,2,0,4,0,0,7,0,0,0,14
11130   ,1,2,3,0,0,0,0,0,9,10,25
8919   ,1,2,0,0,5,6,0,0,0,10,24
9709   ,0,2,3,4,0,0,0,0,0,10,19
11410   ,0,2,3,0,0,6,0,8,0,0,19
12787   ,0,2,0,0,0,0,0,8,0,10,20
8681   ,0,2,3,4,0,6,0,0,0,0,15
9943   ,0,0,0,0,0,0,0,0,0,0,0
9960   ,0,2,0,0,0,0,0,0,0,10,12
8202   ,1,0,3,0,0,6,0,0,0,0,10
12626   ,1,2,3,0,5,0,0,0,0,0,11
8219   ,0,0,0,0,0,0,0,0,0,0,0
8883   ,1,2,3,0,5,0,0,0,0,10,21
8854   ,1,2,3,0,0,6,0,0,9,0,21
12874   ,0,0,0,0,5,0,0,0,0,10,15
9118   ,1,2,3,4,5,0,0,0,0,0,15
9575   ,0,0,0,0,0,0,0,0,0,0,0
10382   ,0,0,3,4,5,0,7,0,0,0,19
12753   ,1,2,0,0,0,0,7,0,0,10,20
10138   ,0,0,0,0,0,0,0,0,0,0,0
9456   ,1,0,3,4,0,0,0,0,9,0,17
8653   ,1,0,0,4,0,0,0,8,0,0,13
11406   ,0,0,3,4,5,0,0,0,9,0,21
9425   ,0,2,3,0,0,6,0,8,0,0,19
11450   ,0,0,0,0,0,0,0,0,0,0,0
9755   ,0,2,0,4,0,0,0,0,9,0,15
8470   ,1,0,0,0,0,6,0,0,9,0,16
9732   ,1,2,3,0,0,0,7,0,9,0,22
10001   ,1,0,3,4,0,6,7,0,0,0,21
8431   ,1,0,0,0,5,6,7,0,0,0,19
9023   ,1,2,3,0,5,0,7,0,0,0,18
10347   ,1,2,3,4,0,0,0,0,0,10,20
9552   ,0,0,3,0,5,6,0,8,0,0,22
9729   ,0,0,0,4,0,6,0,8,0,0,18
8272   ,1,0,0,0,5,0,0,0,0,10,16
9431   ,1,0,0,0,0,0,0,8,9,0,18
12512   ,1,2,0,4,0,6,0,8,0,0,21
8489   ,1,2,3,4,5,0,7,0,0,0,22
9923   ,0,2,0,0,5,0,0,8,9,0,24
9817   ,1,0,3,4,5,0,0,0,9,0,22
9936   ,0,2,3,0,0,6,0,0,0,10,21
10154   ,0,0,0,0,0,0,0,0,0,0,0
8135   ,1,0,0,0,0,6,0,0,9,0,16
8902   ,0,2,3,0,0,0,0,0,9,0,14
11084   ,1,0,3,0,0,0,0,0,0,10,14
11166   ,1,2,3,0,5,0,7,0,0,0,18
12810   ,0,2,0,4,0,0,7,8,0,0,21
9074   ,1,0,0,4,0,0,0,0,0,10,15
12800   ,0,2,0,0,0,0,7,0,0,10,19
9596   ,0,0,3,4,5,0,7,0,0,0,19
9961   ,1,2,0,0,0,6,7,0,9,0,25
10194   ,1,2,3,0,0,0,7,0,9,0,22
8678   ,0,0,0,4,0,0,0,0,9,10,23
8522   ,0,0,0,0,0,0,0,8,9,0,17
9711   ,0,2,3,0,5,0,0,0,0,10,20
8934   ,1,2,3,4,0,6,0,0,0,0,16
9904   ,1,2,3,4,5,6,0,0,9,10,40
9928   ,1,2,3,4,0,6,7,8,9,0,40
11448   ,0,0,0,0,0,0,0,0,0,0,0
8468   ,1,2,3,4,0,0,0,0,9,10,29
11341   ,0,2,0,4,5,6,0,8,9,0,34
8703   ,0,0,0,0,0,6,0,0,9,0,15
9404   ,1,2,0,4,0,0,0,8,0,0,15
8385   ,1,0,3,0,0,6,0,8,0,0,18
8887   ,1,0,0,0,5,0,0,0,0,10,16
10451   ,0,2,3,4,0,6,0,0,9,0,24
8761   ,1,2,3,0,5,6,0,0,0,0,17
10162   ,0,2,3,0,0,6,0,0,9,0,20
11163   ,1,2,3,0,0,0,0,8,0,10,24
11857   ,1,2,0,4,0,0,0,0,9,0,16
12771   ,1,0,3,0,5,0,0,0,0,10,19
9814   ,0,2,3,0,0,0,7,0,0,10,22
8333   ,1,2,0,4,0,0,7,8,0,0,22
12820   ,0,0,0,0,0,0,0,0,0,0,0
12604   ,1,2,0,0,0,6,0,8,9,0,26
11899   ,1,2,0,0,0,6,7,8,9,0,33
11436   ,1,2,3,4,0,0,0,8,0,10,28
10022   ,0,0,0,0,0,0,0,0,0,0,0
9519   ,1,2,3,0,0,0,0,0,0,0,6
11139   ,0,0,0,4,0,0,0,0,0,0,4
11082   ,1,0,3,0,0,0,0,0,0,0,4
8196   ,1,2,0,0,0,0,0,0,0,0,3
10413   ,0,2,3,0,0,0,0,0,0,0,5
8651   ,1,2,0,0,0,0,0,0,0,0,3
8661   ,0,0,0,0,0,0,0,0,0,0,0
