Id,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,Marks
8238 ,    1, 2, 0, 0, 0, 6, 0, 0, 0, 0, 10
8877 ,    1, 2, 0, 4, 0, 0, 0, 0, 0, 0, 9
9151 ,    1, 2, 3, 0, 0, 6, 0, 0, 0, 0, 13
12792,    0, 2, 0, 4, 5, 0, 0, 0, 0, 0, 11
8356 ,    1, 2, 0, 4, 0, 0, 0, 0, 0, 10, 17
8457 ,    1, 0, 3, 4, 0, 6, 0, 0, 0, 0, 14
9068 ,    0, 2, 0, 0, 0, 0, 0, 8, 0, 0, 10
10026,    1, 2, 3, 0, 0, 0, 0, 8, 9, 10, 34
8513 ,    1, 2, 3, 4, 5, 6, 0, 0, 9, 0, 34
8942 ,    1, 2, 3, 4, 0, 0, 7, 0, 9, 10, 36
8881 ,    1, 2, 3, 0, 0, 6, 7, 0, 9, 0, 30
12539,    1, 2, 3, 0, 5, 6, 7, 0, 9, 0, 35
10430,    1, 2, 3, 4, 5, 0, 0, 8, 9, 0, 35
8451 ,    0, 2, 3, 0, 0, 6, 7, 8, 9, 0, 35
8446 ,    1, 2, 3, 4, 5, 6, 0, 0, 9, 0, 30
9061 ,    1, 2, 3, 4, 0, 6, 7, 0, 9, 0, 35
9579 ,    1, 2, 3, 4, 0, 6, 0, 8, 0, 10, 34
8141 ,    1, 2, 3, 0, 5, 6, 7, 8, 0, 0, 32
8420 ,    1, 2, 3, 4, 0, 6, 0, 8, 9, 0, 33
8537 ,    1, 2, 3, 4, 0, 0, 7, 8, 0, 0, 27
11873,    1, 2, 3, 4, 5, 6, 0, 0, 0, 0, 25
9744 ,    1, 2, 0, 0, 0, 0, 0, 0, 9, 10, 22
8693 ,    1, 2, 0, 4, 5, 0, 7, 8, 0, 10, 38
9907 ,    1, 0, 3, 0, 5, 0, 7, 8, 0, 10, 35
8147 ,    1, 0, 0, 0, 0, 0, 7, 8, 0, 0, 17
8434 ,    0, 0, 0, 4, 0, 0, 0, 8, 0, 0, 12
11331,    1, 0, 0, 0, 0, 6, 0, 0, 0, 10, 17
9123 ,    1, 2, 3, 4, 5, 0, 0, 0, 0, 0, 16
9730 ,    1, 2, 3, 4, 0, 6, 0, 0, 0, 0, 18
12620,    1, 0, 0, 0, 5, 0, 7, 0, 0, 0, 13
8708 ,    1, 0, 0, 0, 0, 0, 0, 8, 0, 0, 10
9069 ,    1, 2, 3, 4, 0, 0, 0, 0, 0, 10, 20
8415 ,    1, 2, 3, 4, 5, 0, 7, 8, 0, 0, 30
8879 ,    1, 2, 3, 4, 5, 6, 0, 8, 0, 0, 34
9962 ,    0, 2, 0, 0, 5, 6, 0, 0, 0, 0, 13
